player_id,"last_name, first_name",full_name,Team,pa,ab,hit,single,double,triple,home_run,strikeout,walk,b_hit_by_pitch,b_rbi,k_percent,bb_percent,batting_avg,on_base_percent,slg_percent,babip,isolated_power,xba,xslg,xwoba,xobp
681082,"Stott, Bryson",Bryson Stott,PHI,560,499,128,90,22,3,13,91,54,1,66,16.2,9.6,0.257,0.328,0.391,0.288,0.134,0.247,0.393,0.313,0.328
573262,"Yastrzemski, Mike",Mike Yastrzemski,KC,558,477,111,65,28,1,17,108,72,2,46,19.4,12.9,0.233,0.333,0.403,0.263,0.17,0.237,0.419,0.329,0.333
545361,"Trout, Mike",Mike Trout,LAA,556,456,106,65,14,1,26,178,87,6,64,32.0,15.6,0.232,0.359,0.439,0.31,0.207,0.236,0.474,0.358,0.359
606466,"Marte, Ketel",Ketel Marte,ARI,556,480,136,80,28,0,28,83,64,9,72,14.9,11.5,0.283,0.376,0.517,0.29,0.23400000000000004,0.285,0.534,0.39,0.376
687263,"Neto, Zach",Zach Neto,LAA,554,502,129,73,29,1,26,149,33,14,62,26.9,6.0,0.257,0.319,0.474,0.312,0.21699999999999997,0.251,0.495,0.344,0.319
664040,"Lowe, Brandon",Brandon Lowe,TB,553,507,130,80,19,0,31,149,38,2,83,26.9,6.9,0.256,0.307,0.477,0.297,0.22099999999999997,0.254,0.478,0.335,0.307
593428,"Bogaerts, Xander",Xander Bogaerts,SD,552,491,129,88,30,0,11,94,48,4,53,17.0,8.7,0.263,0.328,0.391,0.299,0.128,0.267,0.413,0.327,0.328
457705,"McCutchen, Andrew",Andrew McCutchen,PIT,551,477,114,79,22,0,13,118,67,2,57,21.4,12.2,0.239,0.333,0.367,0.289,0.128,0.258,0.415,0.333,0.333
592663,"Realmuto, J.T.",J.T. Realmuto,PHI,550,502,129,90,26,1,12,129,35,9,52,23.5,6.4,0.257,0.315,0.384,0.321,0.127,0.253,0.411,0.316,0.315
666969,"García, Adolis",Adolis García,TEX,547,507,115,68,28,0,19,135,28,5,75,24.7,5.1,0.227,0.271,0.394,0.267,0.167,0.232,0.427,0.304,0.271
666971,"Jr., Lourdes Gurriel",Lourdes Gurriel Jr.,ARI,546,500,124,79,24,2,19,76,31,6,80,13.9,5.7,0.248,0.295,0.418,0.254,0.16999999999999998,0.256,0.42,0.315,0.295
606192,"Hernández, Teoscar",Teoscar Hernández,LAD,546,511,126,71,29,1,25,134,26,3,89,24.5,4.8,0.247,0.284,0.454,0.283,0.20700000000000002,0.25,0.456,0.324,0.284
676475,"Burleson, Alec",Alec Burleson,STL,546,497,144,98,26,2,18,79,39,3,69,14.5,7.1,0.29,0.343,0.459,0.312,0.16900000000000004,0.272,0.471,0.345,0.343
657757,"Sheets, Gavin",Gavin Sheets,SD,545,492,124,76,28,1,19,107,44,5,71,19.6,8.1,0.252,0.317,0.429,0.284,0.177,0.263,0.453,0.34,0.317
665833,"Cruz, Oneil",Oneil Cruz,PIT,544,471,94,53,18,3,20,174,64,4,61,32.0,11.8,0.2,0.298,0.378,0.262,0.178,0.218,0.425,0.324,0.298
656811,"O'Hearn, Ryan",Ryan O'Hearn,SD,544,474,133,94,21,1,17,109,58,8,63,20.0,10.7,0.281,0.366,0.437,0.33,0.15599999999999997,0.266,0.426,0.34,0.366
672820,"Sosa, Lenyn",Lenyn Sosa,CWS,544,518,137,94,20,1,22,127,18,4,75,23.3,3.3,0.264,0.293,0.434,0.309,0.16999999999999998,0.263,0.467,0.326,0.293
665161,"Peña, Jeremy",Jeremy Peña,HOU,543,493,150,101,30,2,17,93,35,12,62,17.1,6.4,0.304,0.363,0.477,0.345,0.173,0.27,0.432,0.334,0.363
621439,"Buxton, Byron",Byron Buxton,MIN,542,488,129,66,21,7,35,148,41,7,83,27.3,7.6,0.264,0.327,0.551,0.302,0.28700000000000003,0.249,0.514,0.35,0.327
650859,"Rengifo, Luis",Luis Rengifo,LAA,541,501,119,91,16,3,9,104,33,3,43,19.2,6.1,0.238,0.287,0.335,0.281,0.09700000000000003,0.26,0.375,0.302,0.287
686668,"Doyle, Brenton",Brenton Doyle,COL,538,502,117,77,23,2,15,138,30,0,57,25.7,5.6,0.233,0.274,0.376,0.289,0.143,0.239,0.415,0.3,0.274
691026,"Winn, Masyn",Masyn Winn,STL,537,491,124,88,27,0,9,102,34,8,51,19.0,6.3,0.253,0.31,0.363,0.301,0.10999999999999999,0.24,0.347,0.286,0.31
656305,"Chapman, Matt",Matt Chapman,SF,535,454,105,59,23,2,21,126,71,6,61,23.6,13.3,0.231,0.34,0.43,0.27,0.19899999999999998,0.243,0.417,0.34,0.34
543760,"Semien, Marcus",Marcus Semien,TEX,534,470,108,76,16,1,15,93,50,5,62,17.4,9.4,0.23,0.305,0.364,0.251,0.13399999999999998,0.243,0.395,0.318,0.305
502671,"Goldschmidt, Paul",Paul Goldschmidt,NYY,534,489,134,92,31,1,10,100,36,4,45,18.7,6.7,0.274,0.328,0.403,0.325,0.129,0.266,0.45,0.329,0.328
605137,"Bell, Josh",Josh Bell,WSH,533,468,111,72,16,1,22,88,57,5,63,16.5,10.7,0.237,0.325,0.417,0.247,0.18,0.256,0.485,0.359,0.325
700932,"Manzardo, Kyle",Kyle Manzardo,CLE,531,470,110,62,19,2,27,135,48,8,70,25.4,9.0,0.234,0.313,0.455,0.265,0.221,0.224,0.443,0.322,0.313
665862,"Jr., Jazz Chisholm",Jazz Chisholm Jr.,NYY,531,462,112,65,15,1,31,148,58,6,80,27.9,10.9,0.242,0.332,0.481,0.282,0.239,0.234,0.481,0.345,0.332
700250,"Rice, Ben",Ben Rice,NYY,530,467,119,61,28,4,26,100,50,9,65,18.9,9.4,0.255,0.337,0.499,0.271,0.244,0.28,0.553,0.391,0.337
686797,"Lee, Brooks",Brooks Lee,MIN,527,487,115,83,15,1,16,92,31,4,64,17.5,5.9,0.236,0.285,0.37,0.258,0.134,0.234,0.374,0.289,0.285
671277,"Jr., Luis García",Luis García Jr.,WSH,526,488,123,78,28,1,16,84,27,2,66,16.0,5.1,0.252,0.289,0.412,0.27,0.15999999999999998,0.281,0.47,0.339,0.289
593871,"Polanco, Jorge",Jorge Polanco,SEA,524,471,125,69,30,0,26,82,42,3,78,15.6,8.0,0.265,0.326,0.495,0.269,0.22999999999999998,0.266,0.464,0.343,0.326
805779,"Wilson, Jacob",Jacob Wilson,OAK,523,486,151,112,26,0,13,39,27,7,63,7.5,5.2,0.311,0.355,0.444,0.317,0.133,0.277,0.364,0.304,0.355
669127,"Langeliers, Shea",Shea Langeliers,OAK,523,481,133,70,32,0,31,103,36,1,72,19.7,6.9,0.277,0.325,0.536,0.29,0.259,0.252,0.464,0.329,0.325
680977,"Donovan, Brendan",Brendan Donovan,STL,515,460,132,90,32,0,10,67,42,7,50,13.0,8.2,0.287,0.353,0.422,0.315,0.135,0.28,0.449,0.346,0.353
630105,"Cronenworth, Jake",Jake Cronenworth,SD,515,419,103,71,20,1,11,107,69,15,59,20.8,13.4,0.246,0.367,0.377,0.299,0.131,0.225,0.353,0.319,0.367
676572,"Wagaman, Eric",Eric Wagaman,MIA,514,476,119,79,28,3,9,100,32,1,53,19.5,6.2,0.25,0.296,0.378,0.296,0.128,0.259,0.421,0.315,0.296
656716,"McKinstry, Zach",Zach McKinstry,DET,511,452,117,71,23,11,12,111,46,7,49,21.7,9.0,0.259,0.333,0.438,0.314,0.179,0.247,0.358,0.305,0.333
673962,"Jung, Josh",Josh Jung,TEX,511,482,121,83,23,1,14,129,27,2,61,25.2,5.3,0.251,0.294,0.39,0.316,0.139,0.245,0.414,0.304,0.294
702332,"Durbin, Caleb",Caleb Durbin,MIL,506,445,114,78,25,0,11,50,30,24,53,9.9,5.9,0.256,0.334,0.387,0.265,0.131,0.255,0.362,0.312,0.334
687401,"Ortiz, Joey",Joey Ortiz,MIL,506,470,108,82,18,1,7,74,27,3,45,14.6,5.3,0.23,0.276,0.317,0.26,0.087,0.245,0.327,0.275,0.276
672386,"Kirk, Alejandro",Alejandro Kirk,TOR,506,451,127,94,18,0,15,59,48,1,76,11.7,9.5,0.282,0.348,0.421,0.292,0.139,0.278,0.48,0.359,0.348
805367,"Meidroth, Chase",Chase Meidroth,CWS,505,450,114,94,15,0,5,72,45,6,23,14.3,8.9,0.253,0.329,0.32,0.291,0.067,0.254,0.333,0.3,0.329
664761,"Bohm, Alec",Alec Bohm,PHI,504,464,133,101,18,3,11,82,29,5,59,16.3,5.8,0.287,0.331,0.409,0.324,0.122,0.275,0.413,0.324,0.331
